Metric,Value
Number of selected assets,5
Selected asset IDs,gen_27_Fort Myers; gen_21_Sanford; gen_151_Gulf Clean Energy Center; line_2067; line_1978
Adaptation strategy,Protect the same five modeled assets using residual-depth flood protection; damage is recalculated after subtracting the design depth.
Design standard,RP100 flood depth plus 0.30 m freeboard
Freeboard,0.30 m
Number of return periods analysed,7
Return periods included,"RP10, RP20, RP50, RP75, RP100, RP200, RP500"
Baseline EENS (MWh/year),"190,229.9"
Adapted EENS (MWh/year),"186,129.4"
Avoided EENS (MWh/year),"4,100.5"
Percentage risk reduction,2.16%
